image_name,fracture_fracton,PnS2_sum,PnP3H_sum,PnP3V_sum,PnP4_sum,PnP6V_sum,PnL_sum,FnS2_sum,FnP3H_sum,FnP3V_sum,FnP4_sum,FnP6V_sum,FnL_sum
CS_5057_5_B_33_1_1,0.1338,1.8546,0.4564,0.4479,0.5285,0.3028,0.7624,8.2744,2.477,2.6789,3.7256,2.2689,7.7901
CS_5057_5_B_33_2_1,0.1471,1.6935,0.3168,0.3216,0.328,0.2073,0.5928,4.8747,1.2557,1.4429,2.2077,1.4056,4.6027
CS_5057_5_B_33_3_1,0.1317,1.4292,0.2842,0.271,0.3383,0.2221,0.7353,4.9071,1.2749,1.1313,2.4167,1.6817,4.8107
CS_5057_5_B_33_4_1,0.1269,1.9175,0.2361,0.3155,0.3781,0.2004,0.978,10.048,1.1025,1.8706,2.8875,1.5843,9.543
CS_5057_5_B_34_1_1,0.1066,1.1168,0.1956,0.2022,0.2334,0.1522,0.5043,5.756,1.3806,1.2989,2.1616,1.4331,5.45
CS_5057_5_B_34_2_1,0.1204,1.7259,0.4159,0.3843,0.4683,0.2659,0.7544,9.4464,2.9945,2.8071,3.8436,2.2162,8.9655
CS_5057_5_B_34_3_1,0.1392,1.6074,0.3038,0.2935,0.3309,0.2157,0.6835,5.3342,1.1263,1.22,2.2537,1.528,5.0162
CS_5057_5_B_34_4_1,0.1014,1.3878,0.3052,0.2976,0.3928,0.2436,0.8541,9.5901,2.7622,2.4506,3.8581,2.4121,9.2474
CS_5057_5_B_35_1_1,0.1249,1.2585,0.253,0.2475,0.2712,0.1795,0.4769,4.3761,1.1954,1.3955,2.0884,1.4352,4.2525
CS_5057_5_B_35_2_1,0.09,0.7522,0.1575,0.1618,0.1896,0.1306,0.3841,4.2417,1.492,1.3953,2.095,1.4571,4.1525
CS_5057_5_B_35_3_1,0.1226,1.2849,0.2506,0.2524,0.2695,0.1775,0.4885,4.9581,1.3744,1.3402,2.1383,1.4491,4.6395
CS_5057_5_B_35_4_1,0.1188,1.2631,0.2446,0.2585,0.2996,0.1977,0.6813,5.3196,1.4018,1.7012,2.4741,1.6391,5.0456
CS_5057_5_B_36_1_1,0.1213,1.3833,0.2879,0.2884,0.3269,0.2074,0.6297,6.0756,1.6619,1.569,2.6651,1.6981,5.7294
CS_5057_5_B_36_2_1,0.1265,1.2963,0.2748,0.2673,0.2961,0.1949,0.5592,4.4908,1.3428,1.4419,2.2792,1.5321,4.3015
CS_5057_5_B_36_3_1,0.1077,1.1354,0.2246,0.2197,0.2593,0.1727,0.5608,5.7737,1.7233,1.2972,2.4128,1.6076,5.4167
CS_5057_5_B_36_4_1,0.119,1.2537,0.264,0.2523,0.2847,0.1871,0.5359,5.2036,1.769,1.3789,2.373,1.5766,4.884
CS_5057_5_B_37_1_1,0.1072,0.9426,0.211,0.2022,0.2452,0.1712,0.4875,3.8513,1.5335,1.5306,2.2884,1.6019,3.7577
CS_5057_5_B_37_2_1,0.1017,0.8408,0.2012,0.1861,0.23,0.1608,0.462,3.5388,1.4376,1.4133,2.2214,1.5866,3.4164
